ID,Opponent,Home,Result,Mins,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Game Score,+/-
202303050BOS,NYK,False,L,48:57,12,30,.400,6,17,.353,10,12,.833,2,9,11,6,0,0,2,2,40,28.5,+4
202303080BOS,POR,False,W,30:44,11,17,.647,6,10,.600,2,4,.500,1,6,7,2,1,0,3,0,30,23.6,+21
202303110ATL,ATL,True,W,35:27,12,25,.480,5,14,.357,5,6,.833,0,15,15,6,0,1,1,5,34,27.3,+13
202303130HOU,HOU,True,L,41:04,8,22,.364,2,10,.200,4,4,1.000,0,8,8,6,1,0,4,1,22,13.0,-2
202303150MIN,MIN,True,W,36:55,4,16,.250,0,8,.000,14,16,.875,1,11,12,2,2,1,2,5,22,15.7,-3
202303170POR,POR,True,W,36:29,8,20,.400,2,11,.182,16,18,.889,1,11,12,4,3,0,5,2,34,26.4,+11
202303180UTA,UTA,True,L,38:42,4,12,.333,3,8,.375,4,6,.667,0,3,3,6,0,1,2,3,15,10.0,-13
202303210SAC,SAC,True,W,35:16,14,25,.560,2,7,.286,6,11,.545,1,7,8,4,2,0,1,0,36,28.7,+21
202303240BOS,IND,False,W,32:26,13,24,.542,3,9,.333,5,6,.833,0,7,7,2,2,0,6,3,34,20.3,+23
202303280WAS,WAS,True,L,31:52,11,19,.579,2,7,.286,4,4,1.000,0,9,9,5,0,1,3,4,28,21.4,-10
202303300MIL,MIL,True,W,30:43,12,18,.667,8,10,.800,8,8,1.000,1,7,8,1,0,0,0,1,40,35.3,+36
